,id,title,image_url,recipe_url,rating_avg,rating_val,total_time,category,cuisine,ingredients
1781,1782,Minced beef pinwheels,https://food-images.files.bbci.co.uk/food/recipes/minced_beef_pinwheels_78308_16x9.jpg,https://www.bbc.co.uk/food/recipes/minced_beef_pinwheels_78308,5,4,90,Starters & nibbles,British,"beef mince, garlic, onion, tomato purée, sunflower oil, egg, cheddar, puff pastry, black pepper, mixed herbs, plain flour"
1782,1783,Mincemeat and marzipan couronne,https://food-images.files.bbci.co.uk/food/recipes/pauls_mincemeat_and_33176_16x9.jpg,https://www.bbc.co.uk/food/recipes/pauls_mincemeat_and_33176,5,5,150,Cakes and baking,French,"orange, apricot jam, mincemeat, glazed cherries, egg, milk, strong white flour, caster sugar, yeast, salt, pistachio, ground almonds, butter"
1783,1784,Mincemeat and marzipan tart,https://food-images.files.bbci.co.uk/food/recipes/star_mincemeat_and_22337_16x9.jpg,https://www.bbc.co.uk/food/recipes/star_mincemeat_and_22337,4.6,5,120,Cakes and baking, ,"mincemeat, caster sugar, marzipan, brandy, butter, plain flour"
1784,1785,Mincemeat panforte,https://food-images.files.bbci.co.uk/food/recipes/mincemeat_panforte_60354_16x9.jpg,https://www.bbc.co.uk/food/recipes/mincemeat_panforte_60354,5,5,90,Cakes and baking, ,"fig, mincemeat, caster sugar, brown sugar, honey, cocoa powder, dark chocolate, cinnamon, cloves, nutmeg, almond, butter, plain flour"
1785,1786,Mincemeat trifle,https://food-images.files.bbci.co.uk/food/recipes/mincemeat_trifle_99318_16x9.jpg,https://www.bbc.co.uk/food/recipes/mincemeat_trifle_99318,4,4,180,Desserts,British,"orange, lemon, gooseberry, mincemeat, egg, double cream, custard, caster sugar, sugar, pistachio, ground almonds, dry sherry, butter, plain flour"
1786,1787,Minestrone,https://food-images.files.bbci.co.uk/food/recipes/minestrone_23211_16x9.jpg,https://www.bbc.co.uk/food/recipes/minestrone_23211,4.88,75,90,Light meals & snacks,Italian,"garlic, onion, carrot, celery, green cabbage, chopped tomatoes, tomato purée, olive oil, black pepper, vegetable stock, cannellini beans, spaghetti"
1787,1788,Mini apple and almond cakes,https://food-images.files.bbci.co.uk/food/recipes/mini_apple_and_almond_10454_16x9.jpg,https://www.bbc.co.uk/food/recipes/mini_apple_and_almond_10454,4.923076923,13,90,Cakes and baking, ,"Bramley apple, egg, crème fraîche, almond extract, caster sugar, self-raising flour, flaked almonds, butter"
1788,1789,Mini beef Wellington tartlets,https://food-images.files.bbci.co.uk/food/recipes/mini_beef_wellington_18819_16x9.jpg,https://www.bbc.co.uk/food/recipes/mini_beef_wellington_18819,4,4,40,Starters & nibbles,British,"beef tenderloin, vegetable oil, honey, parsley, black pepper, horseradish sauce, filo pastry, butter"
1789,1790,Mini beef Wellingtons,https://food-images.files.bbci.co.uk/food/recipes/mini_beef_wellingtons_53236_16x9.jpg,https://www.bbc.co.uk/food/recipes/mini_beef_wellingtons_53236,4.333333333,3,120,Starters & nibbles,British,"beef tenderloin, prosciutto, lemon juice, garlic, shallot, mushroom, chestnut mushrooms, lard, egg, black pepper, salt, thyme, white wine, butter, plain flour"
1790,1791,Mini blueberry Bakewell tarts,https://food-images.files.bbci.co.uk/food/recipes/mini_blueberry_bakewell_93838_16x9.jpg,https://www.bbc.co.uk/food/recipes/mini_blueberry_bakewell_93838,4.8,5,180,Cakes and baking, ,"blueberry, lemon juice, egg, caster sugar, ground almonds, butter, plain flour"
1791,1792,"Mini chestnut, apple and spinach Wellingtons",https://food-images.files.bbci.co.uk/food/recipes/mini_chestnut_apple_and_65851_16x9.jpg,https://www.bbc.co.uk/food/recipes/mini_chestnut_apple_and_65851,4.2,5,120,Main course, ,"date, apple, orange, cranberry, garlic, onion, spinach, butternut squash, salad leaves, olive oil, egg, spelt flour, black pepper, salt, thyme, cinnamon, paprika, nutmeg, balsamic vinegar, chestnut, pine nut, green lentil, butter"
